Wavelength,Intensity
2497.502,0.114246
2495.01,0.09918036
2492.522,0.07132117
2490.04,0.07019893
2487.562,0.08927293
2485.089,0.08986264
2482.622,0.09996349
2480.159,0.127667
2477.701,0.1723541
2475.248,0.1973352
2472.799,0.1804805
2470.356,0.1728611
2467.917,0.1627392
2465.483,0.1468798
2463.054,0.1306509
2460.63,0.1008478
2458.21,0.09545561
2455.796,0.1121811
2453.386,0.1326839
2450.98,0.1381612
2448.58,0.1261529
2446.184,0.1103996
2443.793,0.09774759
2441.406,0.1018948
2439.024,0.1027779
2436.647,0.1071862
2434.275,0.09102824
2431.907,0.07284072
2429.543,0.0841452
2427.184,0.09763462
2424.83,0.1240387
2422.481,0.1469841
2420.136,0.1677109
2417.795,0.1914411
2415.459,0.2072269
2413.127,0.196008
2410.8,0.1679658
2408.478,0.1644673
2406.16,0.1606646
2403.846,0.1499368
2401.537,0.1441313
2399.232,0.1604353
2396.932,0.1867238
2394.636,0.1995486
2392.344,0.1986866
2390.057,0.1890626
2387.775,0.1902404
2385.496,0.1983175
2383.222,0.1996446
2380.952,0.1975921
2378.687,0.1954799
2376.426,0.1873779
2374.169,0.1946197
2371.917,0.1985345
2369.668,0.1981378
2367.424,0.1777875
2365.184,0.1633918
2362.949,0.1937047
2360.718,0.2442446
2358.491,0.2856447
2356.268,0.3078528
2354.049,0.3090964
2351.834,0.3000939
2349.624,0.2992599
2347.418,0.3070574
2345.216,0.3194689
2343.018,0.3407421
2340.824,0.3635379
2338.634,0.3690197
2336.449,0.3526895
2334.267,0.3229726
2332.09,0.2763038
2329.916,0.2285099
2327.747,0.2182365
2325.581,0.256891
2323.42,0.3098442
2321.263,0.3240744
2319.109,0.3033639
2316.96,0.2958037
2314.815,0.3207711
2312.673,0.3527555
2310.536,0.3613069
2308.403,0.349675
2306.273,0.3475012
2304.147,0.3631121
2302.026,0.3722488
2299.908,0.3526377
2297.794,0.3136713
2295.684,0.2808641
2293.578,0.2692395
2291.476,0.2917615
2289.377,0.3495598
2287.283,0.4200854
2285.192,0.4758844
2283.105,0.5015391
2281.022,0.5016816
2278.943,0.49091
2276.867,0.4826983
2274.795,0.4765038
2272.727,0.4673224
2270.663,0.4651096
2268.603,0.4777122
2266.546,0.4951655
2264.493,0.5050372
2262.443,0.4973103
2260.398,0.4724225
2258.356,0.4494709
2256.318,0.4483719
2254.283,0.4715615
2252.252,0.5113043
2250.225,0.5531088
2248.201,0.5738926
2246.181,0.5618523
2244.165,0.529165
2242.152,0.5001341
2240.143,0.4920659
2238.138,0.5060777
2236.136,0.5287557
2234.138,0.5450726
2232.143,0.544642
2230.152,0.5258756
2228.164,0.5056356
2226.18,0.5033752
2224.199,0.5120862
2222.222,0.5144677
2220.249,0.509214
2218.279,0.5051369
2216.312,0.5007426
2214.349,0.4821521
2212.389,0.4544853
2210.433,0.4469579
2208.481,0.4684537
2206.531,0.5156799
2204.586,0.5741307
2202.643,0.613388
2200.704,0.6213105
2198.769,0.6120387
2196.837,0.6033123
2194.908,0.599847
2192.982,0.5900762
2191.06,0.5616388
2189.142,0.5188838
2187.227,0.4816425
2185.315,0.4666872
2183.406,0.4770788
2181.501,0.5077946
2179.599,0.5462015
2177.7,0.5712432
2175.805,0.5680286
2173.913,0.5447778
2172.024,0.5309399
2170.139,0.5505443
2168.257,0.5940402
2166.378,0.6296874
2164.502,0.6407248
2162.63,0.6386872
2160.761,0.6427116
2158.895,0.6590314
2157.032,0.6817064
2155.172,0.7021562
2153.316,0.7155232
2151.463,0.7197726
2149.613,0.709657
2147.766,0.6794649
2145.923,0.6379127
2144.082,0.6106272
2142.245,0.612361
2140.411,0.6249515
2138.58,0.6210805
2136.752,0.6034108
2134.927,0.6071432
2133.106,0.6595608
2131.287,0.7389165
2129.472,0.7998165
2127.66,0.8219945
2125.85,0.8096868
2124.044,0.776696
2122.241,0.7426999
2120.441,0.7241747
2118.644,0.7218797
2116.85,0.7190652
2115.059,0.6987695
2113.271,0.6662889
2111.486,0.6451499
2109.705,0.6492118
2107.926,0.6736844
2106.15,0.7137212
2104.377,0.7671102
2102.607,0.8215913
2100.84,0.8496221
2099.076,0.8320026
2097.315,0.7841339
2095.557,0.7447907
2093.802,0.7412634
2092.05,0.768575
2090.301,0.7997664
2088.555,0.8108841
2086.811,0.8006482
2085.071,0.7895865
2083.333,0.7978877
2081.599,0.8240274
2079.867,0.8412204
2078.138,0.8247743
2076.412,0.7786063
2074.689,0.725068
2072.968,0.6889573
2071.251,0.6800261
2069.536,0.6854697
2067.825,0.6914128
2066.116,0.6936111
2064.41,0.6944506
2062.706,0.6984228
2061.006,0.7073833
2059.308,0.7198961
2057.613,0.7315496
2055.921,0.7358024
2054.232,0.7303819
2052.545,0.7140694
2050.861,0.6863227
2049.18,0.6562747
2047.502,0.6348286
2045.827,0.622367
2044.154,0.6169776
2042.484,0.6190282
2040.816,0.6202137
2039.152,0.6118047
2037.49,0.6016199
2035.831,0.6095684
2034.174,0.6413321
2032.52,0.6791255
2030.869,0.7003552
2029.221,0.7005924
2027.575,0.6951093
2025.932,0.6937537
2024.291,0.6915875
2022.654,0.6954525
2021.019,0.7143734
2019.386,0.7364805
2017.756,0.7458129
2016.129,0.7393572
2014.504,0.7306285
2012.882,0.7337427
2011.263,0.7429908
2009.646,0.7448955
2008.032,0.7372764
2006.421,0.7235078
2004.812,0.7051919
2003.205,0.6833407
2001.601,0.6650994
2000.0,0.6687877
1998.401,0.7009861
1996.805,0.732754
1995.211,0.7243489
1993.62,0.6747824
1992.032,0.6263647
1990.446,0.6198694
1988.862,0.6584678
1987.281,0.7170957
1985.703,0.7693393
1984.127,0.7990975
1982.554,0.797277
1980.983,0.7642788
1979.414,0.7203213
1977.848,0.6933442
1976.285,0.6868601
1974.724,0.6805599
1973.165,0.664521
1971.609,0.6555537
1970.055,0.6740834
1968.504,0.7125876
1966.955,0.7356824
1965.409,0.717886
1963.865,0.6724818
1962.323,0.6342989
1960.784,0.6201442
1959.248,0.6221018
1957.713,0.6285663
1956.182,0.6326111
1954.652,0.6359272
1953.125,0.6431776
1951.6,0.6523958
1950.078,0.6584646
1948.558,0.6600923
1947.04,0.6589016
1945.525,0.6535158
1944.012,0.6389866
1942.502,0.6125361
1940.994,0.5915134
1939.488,0.5970625
1937.984,0.6234485
1936.483,0.6564252
1934.985,0.6871099
1933.488,0.7059507
1931.994,0.70217
1930.502,0.674234
1929.012,0.6422321
1927.525,0.6363176
1926.04,0.6622996
1924.557,0.6888862
1923.077,0.6903914
1921.599,0.6769897
1920.123,0.6747085
1918.649,0.6932808
1917.178,0.7193138
1915.709,0.733083
1914.242,0.7258455
1912.777,0.7007151
1911.315,0.6693338
1909.855,0.646804
1908.397,0.6394044
1906.941,0.6463186
1905.488,0.6642687
1904.037,0.6844095
1902.588,0.6953507
1901.141,0.6896458
1899.696,0.667847
1898.254,0.6378468
1896.813,0.6109188
1895.375,0.6040877
1893.939,0.6282517
1892.506,0.6704351
1891.074,0.7040205
1889.645,0.7169285
1888.218,0.719303
1886.792,0.7214154
1885.37,0.7176852
1883.949,0.7000493
1882.53,0.6743971
1881.114,0.6555796
1879.699,0.6476132
1878.287,0.6423423
1876.877,0.6381053
1875.469,0.6455613
1874.063,0.6700057
1872.659,0.6981139
1871.257,0.7068987
1869.858,0.6827428
1868.46,0.63881
1867.065,0.605898
1865.672,0.6041135
1864.28,0.6285923
1862.891,0.6586074
1861.504,0.6723708
1860.119,0.6582464
1858.736,0.6200359
1857.355,0.5761153
1855.976,0.5524638
1854.599,0.5553882
1853.225,0.56837
1851.852,0.5821416
1850.481,0.6016714
1849.112,0.6307123
1847.746,0.6613211
1846.381,0.6809297
1845.018,0.681407
1843.658,0.6609691
1842.299,0.6235315
1840.943,0.5767684
1839.588,0.53873
1838.235,0.5311607
1836.885,0.5540516
1835.536,0.5797136
1834.189,0.5820507
1832.845,0.5637525
1831.502,0.5484307
1830.161,0.553115
1828.822,0.571539
1827.485,0.586767
1826.15,0.5917085
1824.818,0.5881842
1823.487,0.5805689
1822.157,0.5764856
1820.83,0.5848941
1819.505,0.6068469
1818.182,0.629828
1816.86,0.6384026
1815.541,0.6300734
1814.224,0.6213234
1812.908,0.628548
1811.594,0.6450799
1810.282,0.6545725
1808.973,0.65375
1807.664,0.6460173
1806.358,0.6298047
1805.054,0.6041219
1803.752,0.5767071
1802.451,0.5634907
1801.153,0.5752276
1799.856,0.5977555
1798.561,0.601594
1797.268,0.5751028
1795.977,0.5401334
1794.688,0.5280388
1793.4,0.5431165
1792.115,0.5634411
1790.831,0.5790408
1789.549,0.5967107
1788.269,0.6182769
1786.991,0.637765
1785.714,0.6482164
1784.44,0.643995
1783.167,0.6242195
1781.896,0.5961181
1780.627,0.5753887
1779.359,0.5772449
1778.094,0.5981185
1776.83,0.6149939
1775.568,0.6130643
1774.308,0.6051483
1773.05,0.6135908
1771.793,0.6384822
1770.538,0.6500199
1769.285,0.6263459
1768.034,0.5830016
1766.784,0.5510601
1765.537,0.5501971
1764.291,0.5757309
1763.047,0.6081357
1761.804,0.6303998
1760.563,0.6301929
1759.324,0.6139352
1758.087,0.6008235
1756.852,0.5954458
1755.618,0.5861379
1754.386,0.5637071
1753.156,0.5353202
1751.927,0.5161709
1750.7,0.510524
1749.475,0.5140268
1748.252,0.521728
1747.03,0.5321195
1745.81,0.5457081
1744.592,0.5615197
1743.375,0.5722255
1742.16,0.5629151
1740.947,0.5318695
1739.736,0.4982537
1738.526,0.4738744
1737.318,0.4592345
1736.111,0.4516712
1734.906,0.4465398
1733.703,0.4444126
1732.502,0.4451444
1731.302,0.442412
1730.104,0.4325636
1728.907,0.4220381
1727.713,0.4209603
1726.519,0.4383546
1725.328,0.4709294
1724.138,0.5000222
1722.95,0.5140201
1721.763,0.5187019
1720.578,0.5295798
1719.395,0.5573641
1718.213,0.5942115
1717.033,0.6178092
1715.854,0.6131065
1714.678,0.5846685
1713.502,0.5476972
1712.329,0.5149964
1711.157,0.4924424
1709.986,0.4799378
1708.817,0.4759053
1707.65,0.4766625
1706.485,0.4756177
1705.321,0.4690514
1704.158,0.4634183
1702.997,0.4631368
1701.838,0.4529442
1700.68,0.4195529
1699.524,0.3755347
1698.37,0.3515095
1697.217,0.367907
1696.065,0.4108646
1694.915,0.446277
1693.767,0.4586201
1692.62,0.4634263
1691.475,0.4851425
1690.331,0.5244878
1689.189,0.5526325
1688.049,0.5479877
1686.91,0.5193757
1685.772,0.491294
1684.636,0.4803456
1683.502,0.4880616
1682.369,0.5098284
1681.237,0.5395843
1680.108,0.5612165
1678.979,0.5576091
1677.852,0.5321766
1676.727,0.5048847
1675.603,0.4826905
1674.481,0.4537131
1673.36,0.4166439
1672.241,0.3890035
1671.123,0.3874059
1670.007,0.4096978
1668.892,0.4349405
1667.779,0.4407321
1666.667,0.4247958
1665.556,0.4091411
1664.447,0.4156739
1663.34,0.4413958
1662.234,0.4579963
1661.13,0.436731
1660.027,0.3741933
1658.925,0.2998916
1657.825,0.2613046
1656.726,0.2853596
1655.629,0.3468035
1654.533,0.397785
1653.439,0.4158648
1652.346,0.4153096
1651.255,0.4184374
1650.165,0.4247849
1649.077,0.4195546
1647.989,0.4046734
1646.904,0.3941275
1645.82,0.3845112
1644.737,0.3619247
1643.655,0.3279044
1642.576,0.3068081
1641.497,0.316003
1640.42,0.3430383
1639.344,0.3652585
1638.27,0.3753096
1637.197,0.3807548
1636.126,0.3856028
1635.056,0.3810202
1633.987,0.3654873
1632.92,0.3482839
1631.854,0.3294529
1630.789,0.3266477
1629.726,0.3579502
1628.664,0.3892932
1627.604,0.3875273
1626.545,0.3534847
1625.488,0.314915
1624.431,0.3088309
1623.377,0.3278872
1622.323,0.3419104
1621.271,0.3457443
1620.22,0.3467304
1619.171,0.3489639
1618.123,0.3547309
1617.076,0.3591381
1616.031,0.3556902
1614.987,0.3507756
1613.944,0.3575961
1612.903,0.3778509
1611.863,0.3968436
1610.825,0.3999564
1609.788,0.3884682
1608.752,0.3768873
1607.717,0.3744048
1606.684,0.3668156
1605.652,0.3444235
1604.621,0.3316481
1603.592,0.3407289
1602.564,0.3615186
1601.537,0.3823487
1600.512,0.3928217
1599.488,0.3923179
1598.465,0.3839449
1597.444,0.3698432
1596.424,0.3520344
1595.405,0.3326672
1594.388,0.314522
1593.372,0.3029692
1592.357,0.301072
1591.343,0.3046983
1590.331,0.30598
1589.32,0.3016503
1588.31,0.2984648
1587.302,0.3010699
1586.294,0.303634
1585.289,0.298903
1584.284,0.2953628
1583.281,0.2982567
1582.278,0.2978796
1581.278,0.2866174
1580.278,0.2652533
1579.28,0.2484878
1578.283,0.2551027
1577.287,0.2753418
1576.293,0.2773508
1575.299,0.265066
1574.307,0.2674233
1573.317,0.2922141
1572.327,0.3303281
1571.339,0.3627582
1570.352,0.3670152
1569.366,0.3376555
1568.381,0.2950451
1567.398,0.2647994
1566.416,0.262191
1565.435,0.2866274
1564.456,0.311119
1563.477,0.3207252
1562.5,0.3239551
1561.524,0.3263579
1560.549,0.3223731
1559.576,0.3126289
1558.603,0.3078524
1557.632,0.3076848
1556.663,0.2989145
1555.694,0.2741701
1554.726,0.2477238
1553.76,0.2519194
1552.795,0.3015118
1551.831,0.3714078
1550.868,0.4218434
1549.907,0.4341627
1548.947,0.4140818
1547.988,0.3792164
1547.03,0.3529848
1546.073,0.343201
1545.117,0.3331937
1544.163,0.312208
1543.21,0.2877756
1542.258,0.270454
1541.307,0.2591478
1540.357,0.2502709
1539.409,0.2491309
1538.462,0.2574162
1537.515,0.2634674
1536.57,0.2591032
1535.627,0.2516679
1534.684,0.2505153
1533.742,0.263789
1532.802,0.2915114
1531.863,0.3223072
1530.925,0.3443814
1529.988,0.3461739
1529.052,0.3288999
1528.117,0.3049462
1527.184,0.2833668
1526.252,0.2772659
1525.32,0.2796893
1524.39,0.2682024
1523.461,0.2406637
1522.533,0.2101856
1521.607,0.1904133
1520.681,0.1957612
1519.757,0.2290216
1518.834,0.2846613
1517.911,0.3069537
1516.99,0.2801787
1516.07,0.2334476
1515.152,0.199905
1514.234,0.1973455
1513.317,0.2086948
1512.402,0.2162577
1511.487,0.2271294
1510.574,0.2379416
1509.662,0.2378564
1508.751,0.2302909
1507.841,0.2212327
1506.932,0.2074272
1506.024,0.1872798
1505.117,0.176275
1504.212,0.1853383
1503.307,0.203803
1502.404,0.21652
1501.502,0.2052828
1500.6,0.1731076
1499.7,0.1544601
1498.801,0.16339
1497.903,0.1917697
1497.006,0.2212193
1496.11,0.2377706
1495.215,0.2304528
1494.322,0.2041792
1493.429,0.172255
1492.537,0.1589845
1491.647,0.1798965
1490.757,0.2240063
1489.869,0.2796406
1488.982,0.3240342
1488.095,0.3411603
1487.21,0.338294
1486.326,0.3299705
1485.443,0.3285953
1484.561,0.3334682
1483.68,0.3269797
1482.8,0.3133392
1481.921,0.3089377
1481.043,0.3059932
1480.166,0.2866799
1479.29,0.2642566
1478.415,0.2536022
1477.541,0.2463784
1476.669,0.2345926
1475.797,0.2229558
1474.926,0.2287147
1474.057,0.2540594
1473.188,0.2809721
1472.32,0.2961902
1471.454,0.2959986
1470.588,0.2836984
1469.724,0.26121
1468.86,0.2348865
1467.998,0.2222821
1467.136,0.2324161
1466.276,0.2448066
1465.416,0.236436
1464.558,0.2081094
1463.7,0.1811653
1462.844,0.179489
1461.988,0.2099023
1461.134,0.2380851
1460.28,0.2392401
1459.428,0.2216971
1458.576,0.2026778
1457.726,0.1771353
1456.876,0.2175926
1456.028,0.2607963
1455.18,0.265056
1454.334,0.2465368
1453.488,0.2391693
1452.644,0.2450276
1451.8,0.2574584
1450.958,0.2613987
1450.116,0.2497549
1449.275,0.2376976
1448.436,0.238934
1447.597,0.2444504
1446.759,0.2403898
1445.922,0.2318938
1445.087,0.2289161
1444.252,0.2304044
1443.418,0.2255962
1442.585,0.2293986
1441.753,0.246305
1440.922,0.258643
1440.092,0.2682601
1439.263,0.2731924
1438.435,0.2738256
1437.608,0.2742977
1436.782,0.2657475
1435.956,0.2516175
1435.132,0.2489358
1434.309,0.2445866
1433.486,0.2195595
1432.665,0.1868175
1431.844,0.1867872
1431.025,0.1914728
1430.206,0.1989405
1429.388,0.2144154
1428.571,0.2349068
1427.756,0.2501448
1426.941,0.2520477
1426.127,0.2411006
1425.314,0.2283775
1424.501,0.2268959
1423.69,0.2311499
1422.88,0.2239113
1422.071,0.2106207
1421.262,0.2060909
1420.455,0.211292
1419.648,0.2186813
1418.842,0.2192467
1418.037,0.2094391
1417.234,0.1935142
1416.431,0.1844241
1415.629,0.1993944
1414.827,0.2198837
1414.027,0.2237764
1413.228,0.20883
1412.429,0.1888579
1411.632,0.2000268
1410.835,0.222719
1410.039,0.2526919
1409.245,0.2822565
1408.451,0.2983852
1407.658,0.2913212
1406.866,0.2635431
1406.074,0.2307391
1405.284,0.2064401
1404.494,0.194408
1403.706,0.1918465
1402.918,0.1860425
1402.131,0.1710591
1401.345,0.149794
1400.56,0.1628209
1399.776,0.2000933
1398.993,0.2182239
1398.21,0.2111722
1397.429,0.1966291
1396.648,0.1915702
1395.868,0.2052776
1395.089,0.232307
1394.311,0.2531856
1393.534,0.2583425
1392.758,0.2515439
1391.982,0.2412246
1391.208,0.233544
1390.434,0.2255069
1389.661,0.2152816
1388.889,0.2064077
1388.118,0.1999205
1387.347,0.1978255
1386.578,0.1930762
1385.809,0.1863252
1385.042,0.1778285
1384.275,0.1613719
1383.509,0.1392848
1382.743,0.1246978
1381.979,0.1339712
1381.215,0.1656127
1380.453,0.2091762
1379.691,0.2465662
1378.93,0.2597326
1378.17,0.2398268
1377.41,0.1976861
1376.652,0.1586619
1375.894,0.1443501
1375.138,0.1343797
1374.382,0.1136883
1373.626,0.1067275
1372.872,0.1325916
1372.119,0.1659118
1371.366,0.1814763
1370.614,0.1786411
1369.863,0.1735088
1369.113,0.1720586
1368.363,0.1800676
1367.615,0.1867754
1366.867,0.1902218
1366.12,0.2004421
1365.374,0.212492
1364.629,0.2194627
1363.884,0.2267208
1363.141,0.2258345
1362.398,0.2075664
1361.656,0.1833286
1360.915,0.1740776
1360.174,0.18056
1359.434,0.1905741
1358.696,0.1930816
1357.958,0.1872899
1357.22,0.1776738
1356.484,0.1721194
1355.748,0.1828615
1355.014,0.2070863
1354.28,0.2300656
1353.546,0.2385782
1352.814,0.2239193
1352.082,0.1911987
1351.351,0.1602384
1350.621,0.1414341
1349.892,0.1299635
1349.164,0.1355084
1348.436,0.1512142
1347.709,0.1661727
1346.983,0.1751177
1346.257,0.177479
1345.533,0.1826323
1344.809,0.1892802
1344.086,0.1901596
1343.364,0.1847602
1342.642,0.1808879
1341.922,0.1846989
1341.202,0.19103
1340.483,0.1905176
1339.764,0.1800718
1339.047,0.1636997
1338.33,0.1502104
1337.614,0.1362082
1336.898,0.1236504
1336.184,0.1338224
1335.47,0.1510512
1334.757,0.1558958
1334.045,0.141264
1333.333,0.1136567
1332.623,0.0864699
1331.913,0.07515518
1331.203,0.07899806
1330.495,0.08915605
1329.787,0.115441
1329.08,0.1457879
1328.374,0.1728471
1327.669,0.1956494
1326.964,0.2093097
1326.26,0.2077587
1325.557,0.1889178
1324.854,0.1675949
1324.153,0.1674834
1323.452,0.1761087
1322.751,0.1707884
1322.052,0.1544637
1321.353,0.1423959
1320.655,0.1284641
1319.958,0.1030619
1319.261,0.09586772
1318.565,0.08716772
1317.87,0.09979788
